"filename", "language", "JSON", "XML", "Swift", "C++", "Dart", "YAML", "Markdown", "HTML", "JavaScript", "Properties", "Groovy", "comment", "blank", "total"
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/search_constants.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/shared_data.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/exception_manager.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/arithmatic_exception.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/authentication_exception.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/connection_exception.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/exist_exception.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/not_found.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/runtime_exception.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/main.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/Conversation.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/DataModel.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/Post.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/Product.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/User.dart", "Dart", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/chatMessage.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/chatRoom.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/userVote.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/authentication/authentication.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 5, 30
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/authentication/facebook_authenticate.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/authentication/gmail_authenticate.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/cache_manager/cache_manager.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/cache_manager/cache_manager_imp.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/chatMessage/chat_message_manager.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/chatMessage/chat_message_manager_imp.dart", "Dart", 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 12, 204
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/chatMessage/room_manager.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/chatMessage/room_manager_imp.dart", "Dart", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 1, 11, 167
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/file_manager/file_manager.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/file_manager/file_manager_imp.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/condition.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/database_manager.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/firebase_query.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 18
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/firebase_query_manager.dart", "Dart", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 13, 126
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/query.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/post/post_manage_imp.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/post/post_manager.dart", "Dart", 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 11, 162
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/product/product_manager.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/product/product_manager_imp.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 9, 80
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/secure_file/secure_file.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/secure_file/secure_file_imp.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/server/server_manager.dart", "Dart", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 10, 94
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/server/server_model/server_constants.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/search/search_manager.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/search/search_manager_imp.dart", "Dart", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 4, 147
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/search/search_query.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/security/security_manager.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/security/security_manager_imp.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/userVote/userVote_manager.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/userVote/userVote_manager_imp.dart", "Dart", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 2, 10, 113
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/storge/storage_manager_imp.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/storge/storge_manager.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/user/user_manager.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/user/user_manager_Imp.dart", "Dart", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 11, 120
